Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
06e173827a,06e173827a,Nickel,Brass,1,23,6,125b,125b
06e173827a,06e173827a,Brass,Nickel,1,28,8,125b,125b
1ea8833be0,1ea8833be0,Nickel,Nickel,1,16,6,125b,125b
1ea8833be0,1ea8833be0,Nickel,Nickel,1,23,7,125b,125b
ab584c07c2,ab584c07c2,Brass,Brass,1,26,2,125b,125b
ab584c07c2,ab584c07c2,Brass,Brass,1,21,1,125b,125b
e6cc40d201,e6cc40d201,Brass,Nickel,1,16,4,125b,125b
e6cc40d201,e6cc40d201,Nickel,Brass,1,16,2,125b,125b
d64504718a,d64504718a,Brass,Nickel,1,23,1,125b,125b
d64504718a,d64504718a,Nickel,Brass,1,30,1,125b,125b
6e46d2b898,6e46d2b898,Brass,Nickel,1,11,1,125b,125b
6e46d2b898,6e46d2b898,Nickel,Brass,1,24,1,125b,125b
f0a0fa9524,f0a0fa9524,Nickel,Nickel,1,26,10,125b,125b
f0a0fa9524,f0a0fa9524,Nickel,Nickel,1,26,12,125b,125b
61583cc233,61583cc233,Nickel,Brass,1,28,3,125b,125b
61583cc233,61583cc233,Brass,Nickel,1,20,3,125b,125b
1164bc1754,1164bc1754,Brass,Brass,1,16,2,125b,125b
1164bc1754,1164bc1754,Brass,Brass,1,18,4,125b,125b
4b653e1078,4b653e1078,Nickel,Nickel,1,24,7,125b,125b
4b653e1078,4b653e1078,Nickel,Nickel,1,26,8,125b,125b
dd89c806a4,dd89c806a4,Nickel,Nickel,1,27,18,125b,125b
dd89c806a4,dd89c806a4,Nickel,Nickel,1,26,20,125b,125b
13e462a218,13e462a218,Nickel,Nickel,1,26,12,125b,125b
13e462a218,13e462a218,Nickel,Nickel,1,26,15,125b,125b
4bbf967d87,4bbf967d87,Brass,Brass,1,18,0,125b,125b
4bbf967d87,4bbf967d87,Brass,Brass,1,24,2,125b,125b
3c6819beb9,3c6819beb9,Brass,Brass,1,16,1,125b,125b
3c6819beb9,3c6819beb9,Brass,Brass,1,21,1,125b,125b
442ed1aba3,442ed1aba3,Brass,Brass,1,26,7,125b,125b
442ed1aba3,442ed1aba3,Brass,Brass,1,32,8,125b,125b
c9661c2165,c9661c2165,Nickel,Nickel,1,24,5,125b,125b
c9661c2165,c9661c2165,Nickel,Nickel,1,26,4,125b,125b
cccba287c0,cccba287c0,Brass,Brass,1,16,2,125b,125b
cccba287c0,cccba287c0,Brass,Brass,1,16,1,125b,125b
fe57804d2f,fe57804d2f,Brass,Nickel,1,26,11,125b,125b
fe57804d2f,fe57804d2f,Nickel,Brass,1,16,7,125b,125b
5e80774246,5e80774246,Nickel,Brass,1,26,1,125b,125b
5e80774246,5e80774246,Brass,Nickel,1,17,1,125b,125b
a7941599a3,a7941599a3,Brass,Nickel,1,25,8,125b,125b
